input_zip,route_class,fscskey,fscs_seq,distance_km,routing_basis,confidence_note
11780,ZCTA_NEAREST_ACTIVE_OUTLET,NY0689,002,6.134,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11782,EXACT_IMLS_OUTLET_ZIP,NY0684,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11783,EXACT_IMLS_OUTLET_ZIP,NY0379,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11784,EXACT_IMLS_OUTLET_ZIP,NY0654,003,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11786,EXACT_IMLS_OUTLET_ZIP,NY0688,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11787,EXACT_IMLS_OUTLET_ZIP,NY0689,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11788,EXACT_IMLS_OUTLET_ZIP,NY9016,001,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
11789,ZCTA_NEAREST_ACTIVE_OUTLET,NY0680,002,8.074,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11790,ZCTA_NEAREST_ACTIVE_OUTLET,NY0685,002,4.395,ZCTA_NN;R6371;TIE_FIRST_LEX,ZCTA_NN_HAVERSINE;NOT_ELIGIBILITY;NOT_USPS_VALIDITY;NO_INVENTORY
11791,EXACT_IMLS_OUTLET_ZIP,NY0380,002,,EXACT_OUTLET;TIE_FSCSKEY_SEQ,EXACT_OUTLET;NOT_USPS_VALIDITY;NO_INVENTORY
